ArrayExpress_Sex_s	ArrayExpress_Species_s	AvgSpotLen_l	BioSample_s	Experiment_s	InsertSize_l	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Description_s	Sample_Name_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s
male	Otopharynx "brooksi nkhata"	200	SAMEA1877472	ERX240948	250	6526408	2016-03-09	3841	2607	Otopharynx brooksi	2013-05-05	ERR266452	ERS198941	Nkhata Bay	Otopharynx__brooksi_nkhata_-sc-2012-12-14T14:26:13Z-1512682	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877400	ERX240949	250	6526420	2016-03-09	4936	3366	Astatotilapia	2013-05-05	ERR266453	ERS198942	Lake Massoko	Massoko_Yellow_1-sc-2012-12-14T14:26:14Z-1512683	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877447	ERX240950	250	6526432	2016-03-09	5101	3478	Astatotilapia	2013-05-05	ERR266454	ERS198943	Lake Massoko	Massoko_Yellow_2-sc-2012-12-14T14:26:15Z-1512684	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877425	ERX240951	250	6526444	2016-03-09	3883	2652	Astatotilapia	2013-05-05	ERR266455	ERS198944	Lake Massoko	Massoko_blue_3-sc-2012-12-14T14:26:16Z-1512685	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877511	ERX240952	250	6526456	2016-03-09	4252	2875	Astatotilapia	2013-05-05	ERR266456	ERS198945	Lake Massoko	Massoko_blue_4-sc-2012-12-14T14:26:17Z-1512686	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877436	ERX240953	250	6526468	2016-03-09	4437	3014	Astatotilapia	2013-05-05	ERR266457	ERS198946	Lake Massoko	Massoko_blue_5-sc-2012-12-14T14:26:19Z-1512687	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877404	ERX240954	250	6526385	2016-03-09	4864	3306	Astatotilapia	2013-05-05	ERR266458	ERS198947	Lake Massoko	Massoko_blue_6-sc-2012-12-14T14:26:21Z-1512688	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877442	ERX240955	250	6526397	2014-10-15	4186	2846	Astatotilapia	2013-05-05	ERR266459	ERS198948	Lake Massoko	Massoko_Yellow_3-sc-2012-12-14T14:26:22Z-1512689	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Buccochromis rhoadesii	200	SAMEA1877414	ERX240956	250	6526409	2014-10-15	5326	3621	Buccochromis	2013-05-05	ERR266460	ERS198949	Southeast Arm	Buccochromis_rhoadesii-sc-2012-12-14T14:26:23Z-1512690	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Mylochromis anaphyrmus	200	SAMEA1877433	ERX240957	250	6526421	2016-03-09	4721	3202	Mylochromis anaphyrmus	2013-05-05	ERR266461	ERS198950	Southeast Arm	Mylochromis_anaphyrmus-sc-2012-12-14T14:26:24Z-1512691	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Copadichromis mloto	200	SAMEA1877497	ERX240958	250	6526433	2016-03-09	3356	2280	Copadichromis mloto	2013-05-05	ERR266462	ERS198951	No collection site info	Copadichromis_mloto-sc-2012-12-14T14:26:25Z-1512692	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis vulgaris	200	SAMEA1877469	ERX240959	250	6526445	2016-03-09	4792	3252	Placidochromis vulgaris	2013-05-05	ERR266463	ERS198952	Nkhata Bay	Placidochromis_vulgaris-sc-2012-12-14T14:26:27Z-1512693	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877407	ERX240960	250	6526457	2016-03-09	4962	3360	Astatotilapia	2013-05-05	ERR266464	ERS198953	Lake Massoko	Massoko_Yellow_4-sc-2012-12-14T14:26:28Z-1512694	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Dimidiochromis kiwinge	250	SAMEA3388859	ERX1160961	500	14544844	2016-03-03	14161	5176	Dimidiochromis kiwinge	2015-10-21	ERR1081371	ERS724938	Metangula	Dimidiochromis_kiwinge-sc-2288163	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Taeniolethrinops macrorhynchus	250	SAMEA3388858	ERX1160960	500	14544832	2016-03-03	13568	4947	Taeniolethrinops	2015-10-21	ERR1081370	ERS724937	Chiwanga	Taeniolethrinops_macrorhynchus-sc-2288162	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Taeniochromis holotaenia	250	SAMEA3388857	ERX1160959	500	14544820	2016-03-03	13685	4938	Taeniochromis holotaenia	2015-10-21	ERR1081369	ERS724936	Metangula	Taeniochromis_holotaenia-sc-2288161	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Rhamphochromis woodi	250	SAMEA3388856	ERX1160958	500	14544808	2016-03-03	13232	4932	Rhamphochromis woodi	2015-10-21	ERR1081368	ERS724935	Nkhata Bay	Rhamphochromis_woodi-sc-2288160	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Tyrannochromis nigriventer	250	SAMEA3388855	ERX1160957	500	14544796	2016-03-03	13409	5174	Tyrannochromis nigriventer	2015-10-21	ERR1081367	ERS724934	Minos Reef	Tyrannochromis_nigriventer-sc-2288159	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Stigmatochromis "guttatus"	250	SAMEA3388854	ERX1160956	500	14544784	2016-03-03	13238	5013	Stigmatochromis	2015-10-21	ERR1081366	ERS724926	Cape Maclear	Stigmatochromis__guttatus_-sc-2288158	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
	Rhamphochromis longiceps	250	SAMEA3388853	ERX1160955	500	14544772	2016-03-03	14570	5513	Rhamphochromis longiceps	2015-10-21	ERR1081365	ERS724925	Metangula	Rhamphochromis_longiceps-sc-2288157	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Tremitochranus placodon	200	SAMEA1877459	ERX240961	250	6526469	2016-03-09	3799	2578	Trematocranus placodon	2013-05-05	ERR266465	ERS198954	Southeast Arm	Tremitochranus_placodon-sc-2012-12-14T14:26:30Z-1512695	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877464	ERX240962	250	6526384	2016-03-09	5276	3692	Astatotilapia	2013-05-05	ERR266466	ERS198939	Lake Massoko	Massoko_blue_1-sc-2012-12-14T14:26:09Z-1512680	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877494	ERX240963	250	6526396	2016-03-09	5782	4045	Astatotilapia	2013-05-05	ERR266467	ERS198940	Lake Massoko	Massoko_blue_2-sc-2012-12-14T14:26:12Z-1512681	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Otopharynx "brooksi nkhata"	200	SAMEA1877472	ERX240964	250	6526408	2016-03-09	4180	2918	Otopharynx brooksi	2013-05-05	ERR266468	ERS198941	Nkhata Bay	Otopharynx__brooksi_nkhata_-sc-2012-12-14T14:26:13Z-1512682	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877400	ERX240965	250	6526420	2016-03-09	5375	3768	Astatotilapia	2013-05-05	ERR266469	ERS198942	Lake Massoko	Massoko_Yellow_1-sc-2012-12-14T14:26:14Z-1512683	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877447	ERX240966	250	6526432	2014-10-15	5577	3908	Astatotilapia	2013-05-05	ERR266470	ERS198943	Lake Massoko	Massoko_Yellow_2-sc-2012-12-14T14:26:15Z-1512684	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877425	ERX240967	250	6526444	2016-03-09	4197	2947	Astatotilapia	2013-05-05	ERR266471	ERS198944	Lake Massoko	Massoko_blue_3-sc-2012-12-14T14:26:16Z-1512685	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877511	ERX240968	250	6526456	2014-10-15	4653	3239	Astatotilapia	2013-05-05	ERR266472	ERS198945	Lake Massoko	Massoko_blue_4-sc-2012-12-14T14:26:17Z-1512686	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877436	ERX240969	250	6526468	2016-03-09	4835	3379	Astatotilapia	2013-05-05	ERR266473	ERS198946	Lake Massoko	Massoko_blue_5-sc-2012-12-14T14:26:19Z-1512687	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877464	ERX240970	250	6526384	2016-03-09	5293	3641	Astatotilapia	2013-05-05	ERR266474	ERS198939	Lake Massoko	Massoko_blue_1-sc-2012-12-14T14:26:09Z-1512680	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877494	ERX240971	250	6526396	2014-10-15	5800	3988	Astatotilapia	2013-05-05	ERR266475	ERS198940	Lake Massoko	Massoko_blue_2-sc-2012-12-14T14:26:12Z-1512681	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Otopharynx "brooksi nkhata"	200	SAMEA1877472	ERX240972	250	6526408	2016-03-09	4195	2878	Otopharynx brooksi	2013-05-05	ERR266476	ERS198941	Nkhata Bay	Otopharynx__brooksi_nkhata_-sc-2012-12-14T14:26:13Z-1512682	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877400	ERX240973	250	6526420	2014-10-15	5390	3715	Astatotilapia	2013-05-05	ERR266477	ERS198942	Lake Massoko	Massoko_Yellow_1-sc-2012-12-14T14:26:14Z-1512683	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877447	ERX240974	250	6526432	2016-03-09	5597	3856	Astatotilapia	2013-05-05	ERR266478	ERS198943	Lake Massoko	Massoko_Yellow_2-sc-2012-12-14T14:26:15Z-1512684	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877425	ERX240975	250	6526444	2016-03-09	4213	2909	Astatotilapia	2013-05-05	ERR266479	ERS198944	Lake Massoko	Massoko_blue_3-sc-2012-12-14T14:26:16Z-1512685	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877511	ERX240976	250	6526456	2016-03-09	4669	3193	Astatotilapia	2013-05-05	ERR266480	ERS198945	Lake Massoko	Massoko_blue_4-sc-2012-12-14T14:26:17Z-1512686	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877436	ERX240977	250	6526468	2014-10-15	4852	3332	Astatotilapia	2013-05-05	ERR266481	ERS198946	Lake Massoko	Massoko_blue_5-sc-2012-12-14T14:26:19Z-1512687	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877404	ERX240978	250	6526385	2016-03-09	5250	3606	Astatotilapia	2013-05-05	ERR266482	ERS198947	Lake Massoko	Massoko_blue_6-sc-2012-12-14T14:26:21Z-1512688	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877442	ERX240979	250	6526397	2016-03-09	4468	3069	Astatotilapia	2013-05-05	ERR266483	ERS198948	Lake Massoko	Massoko_Yellow_3-sc-2012-12-14T14:26:22Z-1512689	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Buccochromis rhoadesii	200	SAMEA1877414	ERX240980	250	6526409	2014-10-15	5728	3936	Buccochromis	2013-05-05	ERR266484	ERS198949	Southeast Arm	Buccochromis_rhoadesii-sc-2012-12-14T14:26:23Z-1512690	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Mylochromis anaphyrmus	200	SAMEA1877433	ERX240981	250	6526421	2016-03-09	5082	3484	Mylochromis anaphyrmus	2013-05-05	ERR266485	ERS198950	Southeast Arm	Mylochromis_anaphyrmus-sc-2012-12-14T14:26:24Z-1512691	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Copadichromis mloto	200	SAMEA1877497	ERX240982	250	6526433	2016-03-09	3638	2497	Copadichromis mloto	2013-05-05	ERR266486	ERS198951	No collection site info	Copadichromis_mloto-sc-2012-12-14T14:26:25Z-1512692	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis vulgaris	200	SAMEA1877469	ERX240983	250	6526445	2016-03-09	5171	3546	Placidochromis vulgaris	2013-05-05	ERR266487	ERS198952	Nkhata Bay	Placidochromis_vulgaris-sc-2012-12-14T14:26:27Z-1512693	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877407	ERX240984	250	6526457	2016-03-09	5357	3668	Astatotilapia	2013-05-05	ERR266488	ERS198953	Lake Massoko	Massoko_Yellow_4-sc-2012-12-14T14:26:28Z-1512694	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Tremitochranus placodon	200	SAMEA1877459	ERX240985	250	6526469	2016-03-09	4097	2809	Trematocranus placodon	2013-05-05	ERR266489	ERS198954	Southeast Arm	Tremitochranus_placodon-sc-2012-12-14T14:26:30Z-1512695	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Blue Predator"	200	SAMEA1877404	ERX240986	250	6526385	2016-03-09	5236	3610	Astatotilapia	2013-05-05	ERR266490	ERS198947	Lake Massoko	Massoko_blue_6-sc-2012-12-14T14:26:21Z-1512688	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877442	ERX240987	250	6526397	2014-10-15	4460	3075	Astatotilapia	2013-05-05	ERR266491	ERS198948	Lake Massoko	Massoko_Yellow_3-sc-2012-12-14T14:26:22Z-1512689	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Buccochromis rhoadesii	200	SAMEA1877414	ERX240988	250	6526409	2014-10-15	5720	3944	Buccochromis	2013-05-05	ERR266492	ERS198949	Southeast Arm	Buccochromis_rhoadesii-sc-2012-12-14T14:26:23Z-1512690	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Mylochromis anaphyrmus	200	SAMEA1877433	ERX240989	250	6526421	2014-10-15	5076	3493	Mylochromis anaphyrmus	2013-05-05	ERR266493	ERS198950	Southeast Arm	Mylochromis_anaphyrmus-sc-2012-12-14T14:26:24Z-1512691	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Copadichromis mloto	200	SAMEA1877497	ERX240990	250	6526433	2016-03-09	3629	2500	Copadichromis mloto	2013-05-05	ERR266494	ERS198951	No collection site info	Copadichromis_mloto-sc-2012-12-14T14:26:25Z-1512692	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Placidochromis vulgaris	200	SAMEA1877469	ERX240991	250	6526445	2016-03-09	5158	3551	Placidochromis vulgaris	2013-05-05	ERR266495	ERS198952	Nkhata Bay	Placidochromis_vulgaris-sc-2012-12-14T14:26:27Z-1512693	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Astatotilapia "Massoko Yellow Calliptera"	200	SAMEA1877407	ERX240992	250	6526457	2016-03-09	5347	3675	Astatotilapia	2013-05-05	ERR266496	ERS198953	Lake Massoko	Massoko_Yellow_4-sc-2012-12-14T14:26:28Z-1512694	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Tremitochranus placodon	200	SAMEA1877459	ERX240993	250	6526469	2016-03-09	4088	2814	Trematocranus placodon	2013-05-05	ERR266497	ERS198954	Southeast Arm	Tremitochranus_placodon-sc-2012-12-14T14:26:30Z-1512695	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
male	Alticorpus macrocleithrum	200	SAMEA1877429	ERX240994	250	6526386	2016-03-09	4913	3350	Alticorpus	2013-05-05	ERR266498	ERS198955	Southeast Arm	Alticorpus_macrocleithrum-sc-2012-12-14T14:26:31Z-1512696	WGS	PRJEB1254	SC	public	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP002088
